,YR,MON,AMM
788,2015,9,2.44
789,2015,10,3.95
790,2015,11,1.08
791,2015,12,-0.58
792,2016,1,-0.56
793,2016,2,-0.66
794,2016,3,-1.4
795,2016,4,-1.58
796,2016,5,0.09
797,2016,6,-0.1
798,2016,7,-0.14
799,2016,8,1.09
800,2016,9,2.11
801,2016,10,2.65
802,2016,11,3.57
803,2016,12,2.87
804,2017,1,1.69
805,2017,2,0.82
806,2017,3,-1.07
807,2017,4,0.13
808,2017,5,2.16
809,2017,6,1.16
810,2017,7,2.1
811,2017,8,1.93
812,2017,9,3.1
813,2017,10,2.94
814,2017,11,4.48
815,2017,12,6.14
816,2018,1,2.12
817,2018,2,-0.22
818,2018,3,0.56
819,2018,4,-2.9
820,2018,5,-4.72
821,2018,6,-6.48
822,2018,7,-4.72
823,2018,8,-1.36
824,2018,9,-0.78
825,2018,10,0.99
826,2018,11,-0.68
827,2018,12,-1.83
828,2019,1,-0.7
829,2019,2,-0.03
830,2019,3,-3.01
831,2019,4,-3.54
832,2019,5,-2.08
833,2019,6,-1.35
834,2019,7,-0.14
835,2019,8,0.33
836,2019,9,2.33
837,2019,10,2.25
838,2019,11,-0.02
839,2019,12,-1.19
840,2020,1,-1.87
841,2020,2,-1.51
842,2020,3,-0.49
843,2020,4,0.19
844,2020,5,-1.04
845,2020,6,0.52
846,2020,7,-0.59
847,2020,8,0.29
848,2020,9,1.9
849,2020,10,3.77
850,2020,11,2.92
851,2020,12,3.6
852,2021,1,3.39
853,2021,2,1.97
854,2021,3,0.16
855,2021,4,-0.97
856,2021,5,-2.29
857,2021,6,-4.13
858,2021,7,-4.12
859,2021,8,-2.29
860,2021,9,1.31
861,2021,10,1.83
862,2021,11,3.18
863,2021,12,2.69
864,2022,1,2.97
865,2022,2,2.1
866,2022,3,-1.27
867,2022,4,-2.44
868,2022,5,-0.24
869,2022,6,-0.6
870,2022,7,-1.57
871,2022,8,-0.21
872,2022,9,2.2
873,2022,10,2.8
874,2022,11,2.2
875,2022,12,1.61
876,2023,1,1.29
877,2023,2,0.11
878,2023,3,1.02
879,2023,4,1.12
880,2023,5,2.28
881,2023,6,3.74
882,2023,7,3.18
883,2023,8,2.95
884,2023,9,5.72
885,2023,10,5.51
886,2023,11,4.0
887,2023,12,2.58
888,2024,1,3.96
889,2024,2,4.02
890,2024,3,3.14
891,2024,4,1.55
892,2024,5,3.3
893,2024,6,3.22
894,2024,7,0.9
895,2024,8,2.75
896,2024,9,4.4
897,2024,10,4.39
898,2024,11,4.91
899,2024,12,4.97
